Accepted Symbol,Synonym Symbol,Scientific Name,State and Province,Native Status,Invasive
ACTH6,,Acarospora thermophila,,NA(N),
ACTO4,,Acarospora tongleti,,NA(N),
ACTO4,ACVA3,Acarospora variegata,,,
ACTU2,,Acarospora tucsonensis,,NA(N),
ACUT,,Acarospora utahensis,,NA(N),
ACVE4,,Acarospora veronensis,,NA(N),
ACWA2,,Acarospora washingtonensis,,NA(N),
ACMUM,,Acaulon muticum var. muticum,,NA(N),
ACMUM,ACRU8,Acaulon rubrum,,,
ACMUR,,Acaulon muticum var. rufescens,,NA(N),
ACMUR,ACRU9,Acaulon rufescens,,,
ACFL,,Acer floridanum,"USA(AL, AR, FL, GA, IL, KY, LA, MO, MS, NC, OK, SC, TN, TX, VA)",L48(N),
ACFL,ACBA3,Acer barbatum,,,
ACFL,ACBAL,Acer barbatum var. longii,,,
ACFL,ACBAV,Acer barbatum var. villipes,,,
ACFL,ACFLL,Acer floridanum var. longii,,,
ACFL,ACFLV,Acer floridanum var. villipes,,,
ACFL,ACNIF,Acer nigrum var. floridanum,,,
ACFL,ACSAF,Acer saccharum ssp. floridanum,,,
ACFL,ACSAF2,Acer saccharinum var. floridanum,,,
ACFL,ACSAF3,Acer saccharum var. floridanum,,,
ACFL,SABA13,Saccharodendron barbatum,,,
ACFL,SAFL8,Saccharodendron floridanum,,,
ACGLD3,,Acer glabrum var. diffusum,"USA(AZ, CA, NV, UT)",L48(N),
ACGLD3,ACDI,Acer diffusum,,,
ACGLD3,ACGLD,Acer glabrum ssp. diffusum,,,
ACGLD4,,Acer glabrum var. douglasii,"CAN(AB, BC), USA(AK, CA, ID, MT, NV, OR, WA, WY)",L48(N)AK(I?)CAN(N),
ACGLD4,ACDO,Acer douglasii,,,
ACGLD4,ACGLD2,Acer glabrum ssp. douglasii,,,
ACGLG2,,Acer glabrum var. glabrum,"USA(AZ, CO, ID, MT, NE, NM, NV, SD, UT, WY)",L48(N),
ACGLG2,ACGLT3,Acer glabrum var. tripartitum,,,
ACGLG2,ACGLT4,Acer glabrum var. typicum,,,
ACGLG2,ACTR3,Acer tripartitum,,,
ACGLN2,,Acer glabrum var. neomexicanum,"USA(AZ, CO, NM, UT)",L48(N),
ACGLN2,ACGLN,Acer glabrum ssp. neomexicanum,,,
ACGLN2,ACGLP,Acer glabrum var. parviflorum,,,
ACGLN2,ACNE6,Acer neomexicanum,,,
ACGLT2,,Acer glabrum var. torreyi,"USA(CA, NV, OR)",L48(N),
ACGLT2,ACGLT,Acer glabrum ssp. torreyi,,,
ACGLT2,ACTO2,Acer torreyi,,,
ACGRG,,Acer grandidentatum var. grandidentatum,"USA(AZ, CO, ID, MT, NM, NV, TX, UT, WY)",L48(N),
ACGRG,ACSAG2,Acer saccharum ssp. grandidentatum,,,
ACGRG,ACSAG3,Acer saccharum var. grandidentatum,,,
ACGRG,SAGR17,Saccharodendron grandidentatum,,,
ACGRS,,Acer grandidentatum var. sinuosum,"USA(AZ, NM, TX)",L48(N),
ACGRS,ACBR,Acer brachypterum,,,
ACGRS,ACGRB,Acer grandidentatum var. brachypterum,,,
ACGRS,ACSAB,Acer saccharum ssp. brachypterum,,,
ACGRS,ACSAS3,Acer saccharum var. sinuosum,,,
ACGRS,ACSI3,Acer sinuosum,,,
ACLE,,Acer leucoderme,"USA(AL, AR, DC, FL, GA, LA, MS, NC, OK, SC, TN, TX)",L48(N),
ACLE,ACNIL,Acer nigrum var. leucoderme,,,
ACLE,ACSAL,Acer saccharum ssp. leucoderme,,,
ACLE,ACSAL2,Acer saccharum var. leucoderme,,,
ACLE,SALE8,Saccharodendron leucoderme,,,
ACNEC2,,Acer negundo var. californicum,USA(CA),L48(N),
ACNEC2,ACNEC,Acer negundo ssp. californicum,,,
ACNEC2,NECA6,Negundo californicum,,,
ACNEI2,,Acer negundo var. interius,"USA(AZ, CA, CO, ID, KS, MN, MO, MT, ND, NE, NM, NV, OK, SD, UT, WA, WI, WY)",L48(N),
ACNEI2,ACIN3,Acer interius,,,
ACNEI2,ACNEI,Acer negundo ssp. interius,,,
ACNEI2,NEACI,Negundo aceroides ssp. interius,,,
ACNEI2,NEIN3,Negundo interius,,,
ACNEN,,Acer negundo var. negundo,"CAN(AB, BC, MB, NB, NS, NT, ON, PE, QC, SK), USA(AL, AR, CO, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV)",L48(N)CAN(N),
ACNEN,ACNEV2,Acer negundo var. variegatum,,,
ACNEN,NEAC,Negundo aceroides,,,
ACNEN,NENE,Negundo negundo,,,
ACNI5,,Acer nigrum,"CAN(ON, QC), USA(AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, MA, MD, MI, MN, MO, NC, NH, NJ, NY, OH, PA, SD, TN, VA, VT, WI, WV)",L48(N)CAN(N),
ACNI5,ACNIP,Acer nigrum var. palmeri,,,
ACNI5,ACSAN,Acer saccharum ssp. nigrum,,,
ACNI5,ACSAN2,Acer saccharum var. nigrum,,,
ACNI5,ACSAV,Acer saccharum var. viride,,,
ACNI5,SANI9,Saccharodendron nigrum,,,
ACOPO,,Acer opalus ssp. obtusatum,,,
ACOPO,ACOB7,Acer obtusatum,,,
ACRU,,Acer rubrum,"CAN(NB, NF, NS, ON, PE, QC), USA(AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, OR, PA, RI, SC, TN, TX, VA, VT, WI, WV)",L48(N)CAN(N),N'EAST
ACRU,ACBA2,Acer barbatum,,,
ACRUD,,Acer rubrum var. drummondii,"USA(AL, AR, DE, FL, GA, IL, IN, KY, LA, MO, MS, NC, NJ, OK, SC, TN, TX, VA)",L48(N),
ACRUD,ACDR,Acer drummondii,,,
ACRUD,ACRUD2,Acer rubrum ssp. drummondii,,,
ACRUD,RUDR3,Rufacer drummondii,,,
ACRUR,,Acer rubrum var. rubrum,"CAN(NB, NF, NS, ON, PE, QC), USA(AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV)",L48(N)CAN(N),
ACRUR,ACRUT2,Acer rubrum var. tomentosum,,,
ACRUR,ACST,Acer stenocarpum,,,
ACRUR,RURU5,Rufacer rubrum,,,
ACRUT,,Acer rubrum var. trilobum,"CAN(NB, NS, ON, QC), USA(AL, AR, CT, DE, FL, GA, IL, IN, KY, LA, MA, MD, ME, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WV)",L48(N)CAN(N),
ACRUT,ACCA9,Acer carolinianum,,,
ACRUT,ACRUT3,Acer rubrum var. tridens,,,
ACRUT,RUCA7,Rufacer carolinianum,,,
ACSA2,,Acer saccharinum,"CAN(NB, ON, QC, SK), USA(AL, AR, CA, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NM, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WA, WI, WV)",L48(N)CAN(N),
ACSA2,ACDA2,Acer dasycarpum,,,
ACSA2,ACSAL3,Acer saccharinum var. laciniatum,,,
ACSA2,ACSAW,Acer saccharinum var. wieri,,,
ACSA2,ARSA9,Argentacer saccharinum,,,
ACSAS,,Acer saccharum var. saccharum,"CAN(NB, NS, ON, PE, QC), USA(AL, AR, CT, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NH, NJ, NY, OH, OK, PA, RI, SD, TN, VA, VT, WI, WV)",L48(N)CAN(N),
ACSAS,ACNIG,Acer nigrum var. glaucum,,,
ACSAS,ACNIS2,Acer nigrum var. saccharophorum,,,
ACSAS,ACSAG,Acer saccharum var. glaucum,,,
ACSAS,ACSAR,Acer saccharum var. rugellii,,,
ACSAS,SASA18,Saccharodendron saccharum,,,
ACAE2,,Achillea aegyptiaca,,,
ACAE2,ACTA3,Achillea taygetea,,,
ACDI6,,Achillea distans,"CAN(QC), USA(MA, NY)",L48(I)CAN(I),
ACDI6,ACDE10,Achillea dentifera,,,
ACDIT,,Achillea distans ssp. tanacetifolia,,,
ACDIT,ACTA2,Achillea tanacetifolia,,,
ACERR,,Achillea erba-rotta ssp. rupestris,,,
ACERR,ACRU13,Achillea rupestris,,,
ACMIA,,Achillea millefolium var. alpicola,"USA(AK, AZ, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY)",L48(N)AK(N),
ACMIA,ACAL11,Achillea alpicola,,,
ACMIA,ACFU,Achillea fusca,,,
ACMIA,ACLAA,Achillea lanulosa ssp. alpicola,,,
ACMIA,ACLAA2,Achillea lanulosa var. alpicola,,,
